symbol	Grp.1 mean	Grp.2 mean	logFC	p-value	label
PNMA5	-0.9003260869565218	0.17984545454545453	-1.0801715415019764	0.77E-03	*** 
HGF	-0.9583260869565217	0.1822727272727273	-1.140598814229249	0.12E-02	** 
MET	-0.9019913043478259	0.10465454545454543	-1.0066458498023714	0.29E-02	** 
OR4K2	-1.7603999999999995	-1.7604	4.440892098500626e-16	0.30E-02	** 
DAZ4	-3.0217000000000005	-3.0217	-4.440892098500626e-16	0.30E-02	** 
AQP9	-0.9163478260869565	-0.07829090909090909	-0.8380569169960475	0.32E-02	** 
CDH18	-0.8345521739130434	0.08173636363636366	-0.916288537549407	0.52E-02	** 
KLK7	-0.9563608695652173	-0.2989181818181818	-0.6574426877470354	0.53E-02	** 
CELF4	-0.22653043478260868	0.47940909090909095	-0.7059395256916996	0.62E-02	** 
F3	0.25503478260869566	0.9003727272727272	-0.6453379446640315	0.77E-02	** 
SLC47A2	-0.24937826086956516	0.537009090909091	-0.7863873517786562	0.81E-02	** 
NRG1	-0.7169478260869563	0.1505272727272727	-0.867475098814229	0.84E-02	** 
MAP2K1	-0.6319869565217392	0.12887272727272728	-0.7608596837944664	0.87E-02	** 
S1PR4	-0.19526521739130437	-0.8758909090909092	0.6806256916996047	0.11E-01	* 
FOXL2	0.4976869565217393	-0.24238181818181817	0.7400687747035575	0.11E-01	* 
TLR5	-0.8577739130434786	-0.1486636363636364	-0.7091102766798423	0.13E-01	* 
VSIG4	-0.9373956521739132	-0.2560909090909091	-0.6813047430830041	0.15E-01	* 
ABI1	-0.751517391304348	-0.2908454545454546	-0.46067193675889345	0.15E-01	* 
HK3	-0.7794304347826086	-0.06030909090909089	-0.7191213438735178	0.15E-01	* 
AKT2	1.1245130434782609	0.22960909090909087	0.89490395256917	0.16E-01	* 
RSPO3	-0.7336913043478261	-0.01111818181818183	-0.7225731225296443	0.17E-01	* 
SLC47A1	0.4502173913043478	-0.41397272727272727	0.8641901185770751	0.18E-01	* 
SLC45A3	-0.8554739130434783	-0.31400909090909085	-0.5414648221343874	0.19E-01	* 
GPNMB	-0.9477347826086956	-0.3539090909090909	-0.5938256916996048	0.20E-01	* 
SIGLEC10	-0.744882608695652	-0.1883	-0.556582608695652	0.20E-01	* 
FCGR1A	-0.7415826086956521	-0.1262181818181818	-0.6153644268774703	0.21E-01	* 
RIMS2	-0.5459086956521739	0.10307272727272733	-0.6489814229249012	0.21E-01	* 
SLAMF8	-0.8024869565217392	-0.2951909090909091	-0.5072960474308301	0.22E-01	* 
CYP1A2	-1.342178260869565	-0.5005545454545455	-0.8416237154150195	0.23E-01	* 
GFRA1	-0.7472130434782609	-0.054636363636363615	-0.6925766798418973	0.23E-01	* 
TLE2	0.6787478260869564	0.04433636363636361	0.6344114624505928	0.25E-01	* 
SVOP	-0.2657043478260869	0.45251818181818176	-0.7182225296442686	0.25E-01	* 
SH3GL1	0.6668260869565218	-0.07241818181818181	0.7392442687747036	0.25E-01	* 
LAIR1	-0.7325565217391304	-0.14914545454545453	-0.5834110671936759	0.25E-01	* 
CCR1	-0.6539869565217392	-0.07076363636363636	-0.5832233201581029	0.26E-01	* 
MAP2K4	-0.5779173913043476	0.025927272727272757	-0.6038446640316204	0.29E-01	* 
COL19A1	-0.7278130434782608	-0.22012727272727275	-0.5076857707509881	0.29E-01	* 
HDAC3	-0.36388260869565214	0.3005818181818182	-0.6644644268774704	0.30E-01	* 
